Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7451.20147110028, 188.776487447895, 136.125, 738.156206476323, 0, 
5, Eco1064, 31400, 8991.90898089172, 224.671769380987, 171.122101910828, 897.841178343949, 0, 
5, Eco1072, 24468, 9339.54095144679, 232.002013963969, 175.190125878699, 947.186243256498, 0, 
5, Eco1078, 43371, 9677.7813285375, 231.690069651552, 163.028890272302, 978.808305088654, 0, 
5, Eco1083, 29065, 9881.33941166351, 233.260111618243, 159.9970067091, 1010.18733872355, 0, 
5, Eco1090, 17774, 10202.6184314167, 236.112303287628, 165.301170248678, 1042.55373016766, 0, 
5, Eco1102, 28203, 10502.6991100238, 252.700341013601, 166.735666418466, 1102.18714321172, 0, 
5, Eco1133, 32205, 11058.1628008073, 283.248396347082, 181.290824406148, 1175.52103710604, 0, 
5, Eco1226, 23275, 13502.8298603652, 393.899929671853, 249.169881847476, 1570.95407089151, 0, 
5, Eco1441, 19294, 16640.1862755261, 509.065124979631, 323.435938633772, 2069.27796206074, 0, 
5, Eco2036, 20223, 7733.73223557336, 185.83444489469, 129.030905404737, 746.275330069723, 0, 
5, Eco2064, 44285, 9275.76840916789, 220.262935830054, 168.598464491363, 894.434074743141, 0, 
5, Eco2072, 19716, 9688.47230675593, 224.325093723385, 160.342412254007, 949.906471900994, 0, 
5, Eco2078, 29673, 10011.7992114043, 229.864242573904, 162.954638897314, 977.765510733664, 0, 
5, Eco2083, 40707, 10350.855921586, 238.578763887437, 162.080526690741, 985.747954897192, 0, 
5, Eco2090, 19188, 10543.6535334584, 240.531913429209, 170.130810923494, 1047.72045028143, 0, 
5, Eco2102, 26949, 11131.7169839326, 248.608608474552, 158.505547515678, 1091.84741548852, 0, 
5, Eco2133, 29721, 11550.1091484136, 282.1199985356, 179.011742538946, 1165.92402678241, 0, 
5, Eco2226, 18597, 14219.3655428295, 404.270997020305, 260.52196590848, 1686.6703231704, 0, 
5, Eco2441, 21704, 17134.9256358275, 522.099721562378, 328.947106524143, 2155.31173977147, 0, 
5, Eco3036, 44627, 8507.47576579201, 221.09704147789, 137.354561140117, 823.58117283259, 0, 
5, Eco3064, 49056, 10341.8540851272, 273.519692414517, 167.59966161122, 975.551084474886, 0, 
5, Eco3072, 78331, 10598.8055048448, 279.814440331589, 174.132476286528, 1005.68888434975, 0, 
5, Eco3078, 18625, 10721.963704698, 281.417754015891, 168.986577181208, 1016.99355704698, 0, 
5, Eco3083, 29143, 10817.2792780428, 286.687915320933, 173.627354767869, 1057.51933568953, 0, 
5, Eco3090, 21037, 10935.495888197, 294.02912113407, 176.007700717783, 1102.8727480154, 0, 
5, Eco3102, 15890, 10999.8142227816, 302.871024033164, 176.369603524229, 1114.23039647577, 0, 
5, Eco3133, 13632, 11688.2494865023, 330.275008659005, 188.739950117371, 1171.58340669014, 0, 
5, Eco3226, 16171, 13417.7578381052, 434.516862885961, 244.401335724445, 1490.94558159669, 0, 
5, Eco3441, 19879, 15936.3470999547, 546.332024726756, 313.697218169928, 1922.55631571005, 0, 
5, Eco4036, 172, 6822.54069767442, 170.677279990804, 118.360465116279, 681.459302325581, 0, 
5, Eco4064, 5858, 8963.90320928645, 215.891023307514, 161.640662342096, 884.08791396381, 0, 
5, Eco4072, 1440, 9345.89652777778, 224.553662582036, 150.436805555556, 914.040277777778, 0, 
5, Eco4078, 8585, 10035.5973209086, 222.700437161276, 147.766686080373, 936.256377402446, 0, 
5, Eco4083, 5379, 10331.5025097602, 224.009853029754, 151.751812604573, 988.061349693251, 0, 
5, Eco4090, 8814, 10672.6190152031, 226.653443684544, 145.237009303381, 1018.4927388246, 0, 
5, Eco4102, 1170, 11259.3230769231, 255.810768168372, 159.338461538462, 1095.07094017094, 0, 
5, Eco4133, 1827, 12195.1959496442, 265.347769906739, 161.431308155446, 1162.77613574165, 0, 
5, Eco4226, 1350, 13968.7407407407, 374.973340012106, 232.665185185185, 1559.20518518519, 0, 
5, Eco4441, 1535, 17247.3348534202, 509.02160743336, 324.487947882736, 2239.09250814332, 0, 
5, Eco5036, 5365, 7852.92786579683, 202.280686469267, 125.786020503262, 791.840074557316, 0, 
5, Eco5064, 17414, 9661.60491558516, 263.511184054368, 170.827265418629, 915.257838520731, 0, 
