Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7704.41795786908, 256.302541931702, 151.491295264624, 744.839136490251, 0, 
5, Eco1064, 31400, 9312.83996815287, 317.155821440513, 192.524044585987, 909.875796178344, 0, 
5, Eco1072, 24468, 9681.11259604381, 329.704400863387, 199.128903057054, 960.859816903711, 0, 
5, Eco1078, 43371, 10033.1258675152, 328.041133125671, 186.139355790736, 990.861589541399, 0, 
5, Eco1083, 29065, 10239.0011697918, 331.927767220049, 183.760055049028, 1022.51460519525, 0, 
5, Eco1090, 17774, 10559.5007876674, 346.295931440778, 192.797175649826, 1056.9106560144, 0, 
5, Eco1102, 28203, 10894.2016097578, 348.027651660496, 190.374002765663, 1107.110130128, 0, 
5, Eco1133, 32205, 11501.4155565906, 379.565493739302, 206.024747709983, 1174.8854215184, 0, 
5, Eco1226, 23275, 14024.9193555317, 483.816139412519, 272.619377013963, 1552.35119226638, 0, 
5, Eco1441, 19294, 16824.3825023323, 574.108759795494, 337.255519850731, 2075.39960609516, 0, 
5, Eco2036, 20223, 8033.66770508827, 259.352840036717, 148.071947782228, 752.894723829303, 0, 
5, Eco2064, 44285, 9674.37850287908, 325.969425598726, 195.998712882466, 907.925934289263, 0, 
5, Eco2072, 19716, 10095.8077703388, 330.045162290884, 187.668188273483, 964.776780279976, 0, 
5, Eco2078, 29673, 10413.5999393388, 337.332994684271, 191.198126242712, 992.992821757153, 0, 
5, Eco2083, 40707, 10746.0747045963, 335.388257926802, 187.767705799985, 999.05048271796, 0, 
5, Eco2090, 19188, 10961.9478840942, 354.024892994341, 200.693610589952, 1060.01792787159, 0, 
5, Eco2102, 26949, 11573.5101116925, 349.447095288125, 185.60039333556, 1103.4669932094, 0, 
5, Eco2133, 29721, 12050.7765889438, 383.128497725623, 207.173648262172, 1164.48581810841, 0, 
5, Eco2226, 18597, 14862.2713878583, 510.548826958054, 293.305909555305, 1666.24837339356, 0, 
5, Eco2441, 21704, 17413.7602746038, 595.030670091169, 350.292296350903, 2154.93720051603, 0, 
5, Eco3036, 44627, 8550.80520760974, 272.199493933675, 149.05855199767, 820.986936159724, 0, 
5, Eco3064, 49056, 10372.4854859752, 329.091029378021, 177.380238910633, 968.991173352903, 0, 
5, Eco3072, 78331, 10637.4383194393, 338.795226680447, 185.497695676041, 1002.25491823161, 0, 
5, Eco3078, 18625, 10767.4001610738, 341.293239751032, 180.054604026846, 1010.69476510067, 0, 
5, Eco3083, 29143, 10863.4155714923, 349.161177620574, 184.967230552791, 1050.87255944824, 0, 
5, Eco3090, 21037, 10986.5565907686, 357.476068024128, 186.901459333555, 1094.91367590436, 0, 
5, Eco3102, 15890, 11076.8809314034, 359.49679567512, 186.497986154814, 1102.74864694777, 0, 
5, Eco3133, 13632, 11819.6343163146, 391.004128510635, 201.726525821596, 1159.51137030516, 0, 
5, Eco3226, 16171, 13616.4778306846, 477.375502230568, 252.22682579927, 1464.77181374065, 0, 
